ConstituentID,DisplayName,Nationality,Gender
12614,Harold Rosenberg,American,Male
4936,Murray Riss,American,Male
152,Ralph Ammirati,American,Male
3079,Krishen Khanna,Indian,Male
47852,Ned Sublette,,Male
33342,Google Inc.,American,
2228,Leonel Gongora,Colombian,Male
6642,Art Spiegelman,American,Male
29718,Javier Peña,,
9958,"Aluminum Company of America, Pittsburgh, Pennsylvania",American,
40736,Ernest La Jeunesse,French,Male
69900,Shigeru Onishi,Japanese,male
26951,Andy Diaz Hope,American,Male
3876,John McCracken,American,Male
8287,Lisa Ruyter,American,Female
33760,Vuyile Voyiya,South African,Male
29982,Stanley Brouwn,Dutch,Male
831,Albin Brunovsky,Slovak,Male
2044,Ada V. Gabriel,American,Female
4641,Michelangelo Pistoletto,Italian,Male
1994,David Freund,American,Male
31035,Ferdinand Schmatz,Austrian,Male
6906,Silvia Kolbowski,Argentine,Female
6238,Gene Walther,Swiss,Male
2569,Erich Heckel,German,Male
5554,Merle Spandorfer,American,Female
38739,Hank Willis Thomas,American,Male
5869,James Thurber,American,Male
6447,Joseph Janvier Woodward,American,Male
10198,"Vittorio Necchi, Pavia, Italy",,Male
6458,Cedric Wright,American,Male
5266,Jan J. Schoonhoven,Dutch,Male
5292,Johan Bernhard Schweitz,Nationality unknown,Male
70420,Jennifer Bolande,American,
1071,Serge Charchoune,Russian,Male
2173,Girard,Nationality unknown,
3309,Kuron - Gogol,German,
7880,James Juszczyk,American,Male
29657,Francesca Gabbiani,Canadian,Female
46155,Rao,Argentine,
42735,Peter Tscherkassky,Austrian,Male
67479,Drago Galić,,
10010,"Hudson Fixtures, USA",,
71123,Holly Fisher,American,Female
2478,Peter Hamburger,American,Male
4880,Paul Revel,French,Male
3119,Toshiyuki Kita,Japanese,Male
2646,Charles Christopher Hill,American,Male
373,Giampiero Bassi,Italian,
2333,Robert Gretczko,American,Male
32685,Joanne Tatham,British,Female
3548,Klaus Liebig,German,Male
2027,Fukuhara Roso,Japanese,Male
7125,Keith Morrow Martin,American,Male
